Country,GDP
Afghanistan,14786861638
Africa Western and Central,8.40187E+11
Angola,67404287260
Albania,18255787479
Andorra,3330281524
Arab World,2.86072E+12
United Arab Emirates,4.15022E+11
Argentina,4.87227E+11
Armenia,13861409969
American Samoa,709000000
Antigua and Barbuda,1471125926
Australia,1.55267E+12
Austria,4.80368E+11
Azerbaijan,54622176471
